CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:46:11,18 SPCS,ARIANE 42P+ DEB,1992-072J,EARTH,TEME,UTC,SGP4,2021-10-31T22:46:50.340864,2.92169986,0.6528926,7.7156,90.241,243.1216,38.7796,0,U,26741,999,23588,0.024341,0.00000883,0,20668.618,492.864,27784.871,796.095,DEBRIS,MEDIUM,FR,1992,FRGUI,,3195178,188614016,0 ARIANE 42P+ DEB,1 26741U 92072J   21304.94919376  .00000883  00000-0  24341-1 0  9992,2 26741   7.7156  90.2410 6528926 243.1216  38.7796  2.92169986235889
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,SL-8 DEB,1979-028C,EARTH,TEME,UTC,SGP4,2021-10-31T16:32:17.360448,13.75497324,0.003072,82.9193,299.112,158.9093,201.3337,0,U,26743,999,50124,0.000065913,0.00000079,0,7358.038,104.689,1002.507,957.299,DEBRIS,SMALL,CIS,1979,PKMTR,,3194950,188593285,0 SL-8 DEB,1 26743U 79028C   21304.68908982  .00000079  00000-0  65913-4 0  9992,2 26743  82.9193 299.1120 0030720 158.9093 201.3337 13.75497324501243
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:26:11,18 SPCS,GSAT 1,2001-015A,EARTH,TEME,UTC,SGP4,2021-11-01T05:22:43.421952,1.03822361,0.0237386,12.1717,16.5368,250.1248,146.29,0,U,26745,999,7798,0,-0.00000165,0,41197.852,1386.984,35797.696,33841.738,PAYLOAD,LARGE,IND,2001,SRI,,3195026,188609573,0 GSAT 1,1 26745U 01015A   21305.22411368 -.00000165  00000-0  00000+0 0  9991,2 26745  12.1717  16.5368 0237386 250.1248 146.2900  1.03822361 77984
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,CZ-4 DEB,1999-057MB,EARTH,TEME,UTC,SGP4,2021-10-31T11:11:24.198720,14.77590694,0.0060618,98.4781,8.7205,37.3771,323.1632,0,U,26754,999,10204,0.00031568,0.00002265,0,7015.076,97.456,679.465,594.417,DEBRIS,SMALL,PRC,1999,TSC,,3194431,188556894,0 CZ-4 DEB,1 26754U 99057MB  21304.46625230  .00002265  00000-0  31568-3 0  9993,2 26754  98.4781   8.7205 0060618  37.3771 323.1632 14.77590694102043
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,CZ-4 DEB,1999-057MC,EARTH,TEME,UTC,SGP4,2021-10-31T17:46:46.681248,14.72448242,0.0062255,98.4232,122.0724,345.1605,27.6061,0,U,26755,999,9622,0.00040799,0.0000261,0,7031.4,97.796,697.039,609.491,DEBRIS,SMALL,PRC,1999,TSC,,3194950,188592541,0 CZ-4 DEB,1 26755U 99057MC  21304.74081807  .00002610  00000-0  40799-3 0  9991,2 26755  98.4232 122.0724 0062255 345.1605  27.6061 14.72448242 96226
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:36:11,18 SPCS,CZ-4 DEB,1999-057MD,EARTH,TEME,UTC,SGP4,2021-11-01T04:51:23.912640,14.38476477,0.0085229,98.7597,287.9689,54.53,306.3803,0,U,26756,999,8096,0.000083392,0.00000218,0,7141.674,100.106,824.406,702.671,DEBRIS,SMALL,PRC,1999,TSC,,3195096,188611545,0 CZ-4 DEB,1 26756U 99057MD  21305.20236010  .00000218  00000-0  83392-4 0  9991,2 26756  98.7597 287.9689 0085229  54.5300 306.3803 14.38476477 80962
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,XM-1,2001-018A,EARTH,TEME,UTC,SGP4,2021-10-31T12:44:28.864032,0.99004751,0.000347,4.6906,78.1846,223.9574,172.3174,0,U,26761,999,2939,0,0.00000074,0,42523.71,1454.476,36160.331,36130.82,PAYLOAD,LARGE,US,2001,SEAL,,3194431,188557395,0 XM-1,1 26761U 01018A   21304.53088963  .00000074  00000-0  00000-0 0  9995,2 26761   4.6906  78.1846 0003470 223.9574 172.3174  0.99004751 29392
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,BLOCK DM-SL R/B,2001-018B,EARTH,TEME,UTC,SGP4,2021-10-31T19:33:02.827584,2.23844183,0.7052274,1.3497,331.9982,336.4349,76.7499,0,U,26762,999,16759,-0.0015726,0.00000024,0,24685.275,643.305,35715.872,898.408,ROCKET BODY,LARGE,SEAL,2001,SEAL,,3194950,188593042,0 BLOCK DM-SL R/B,1 26762U 01018B   21304.81461606  .00000024  00000-0 -15726-2 0  9995,2 26762   1.3497 331.9982 7052274 336.4349  76.7499  2.23844183167598
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-25T02:11:01,18 SPCS,TITAN 3C TRANSTAGE DEB,1965-108AS,EARTH,TEME,UTC,SGP4,2021-10-24T21:30:30.352032,2.73852195,0.6743901,26.0813,147.4319,62.8851,354.2763,0,U,26763,999,20574,0.00067421,-0.00000033,0,21580.311,525.831,29755.723,648.628,DEBRIS,SMALL,US,1965,AFETR,,3182768,188090800,0 TITAN 3C TRANSTAGE DEB,1 26763U 65108AS  21297.89618463 -.00000033  00000-0  67421-3 0  9990,2 26763  26.0813 147.4319 6743901  62.8851 354.2763  2.73852195205745
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,INTELSAT 10 (PAS 10),2001-019A,EARTH,TEME,UTC,SGP4,2021-10-31T16:20:45.741408,1.00271049,0.0003655,5.0375,75.2284,162.742,225.241,0,U,26766,999,2868,0,0.00000046,0,42164.938,1436.107,35802.215,35771.392,PAYLOAD,LARGE,US,2001,TTMTR,,3194950,188592542,0 INTELSAT 10 (PAS 10),1 26766U 01019A   21304.68108497  .00000046  00000-0  00000-0 0  9991,2 26766   5.0375  75.2284 0003655 162.7420 225.2410  1.00271049 28682
